"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"A46","Alistair Fernie","SCS2","Director, International Finance (Acting)","Director, International Finance (Acting)","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A8","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A46"
"B87","Richard Teuten","SCS1","Head of International Financial Institutions","Head of International Financial Institutions","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A46","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B87"
"B142","Alicia Herbert","SCS1","Head of DFID Mozambique","Head of DFID Mozambique","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B142"
"B128","Laure Beaufils","SCS1","Head of DFID Rwanda","Head of DFID Rwanda","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B128"
"B47","Adrian Blundell","SCS1","Head of Group Operations","Head of Group Operations","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A27","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B47"
"B78","Jane Rintoul","SCS1","Head of Regional Directorate","Head of Regional Directorate","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B78"
"B163","Emma Donnelly","SCS1","Head of DFID Zambia","Head of DFID Zambia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B163"
"B169","Robert Wilkinson","SCS1","Head of Cabinet, Policy and Research Division","Head of Cabinet, Policy and Research Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","B122","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B169"
"B153","Phillip Marker","SCS1","Head of Energy,Climate and Growth","Head of Energy,Climate and Growth","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B56","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B153"
"A45","Mark Bryson-Richardson","SCS2","Director, Stabilisation Unit","Director, Stabilisation Unit","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A45"
"B173","Elise Gallagher","SCS1","Head of Profession, HR","Head of Profession, HR","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A27","","1","60000","64999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/dfid/post/B173"
"B120","Gerard Howe","SCS1","Head of Civil Society Department","Head of Civil Society Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B120"
"B136","Penelope Hawkins","SCS1","Head of Evaluation","Head of Evaluation","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B136"
"B99","Anna Wechsberg","SCS1","Joint Head, Europe Department","Joint Head, Europe Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","0.8","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B99"
"A20","Christopher Whitty","SCS2","Chief Scientific Advisor / Director Research & Evidence","Chief Scientific Advisor / Director Research & Evidence","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A20"
"B161","Rurik Marsden","SCS1","Deputy Director, Research and Evidence Division","Deputy Director, Research and Evidence Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B161"
"B167","Louise Thomas","SCS1","Head of Trade for Development, Trade Policy Unit","Head of Trade for Development, Trade Policy Unit","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B167"
"B105","Kevin Mallett","SCS1","Financial Controller","Financial Controller","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A44","","1","75000","79999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/B105"
"A21","Elizabeth Ditchburn","SCS2","Director, Policy","Director, Policy","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A21"
"B68","Mark Mallalieu","SCS1","Head of Office","Head of Office","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A41","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B68"
"B116","Elizabeth Arthy","SCS1","Head of Europe Department","Head of Europe Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","0.8","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B116"
"B130","Mary Hunt","SCS1","Deputy Director, Asia","Deputy Director, Asia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B130"
"B100","Annabel Gerry","SCS1","Head of DFID Zimbabwe","Head of DFID Zimbabwe","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B100"
"B137","Pete Vowles","SCS1","Head of Programme Delivery","Head of Programme Delivery","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A44","","1","70000","74999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/B137"
"B97","Jonathan Ockenden","SCS1","UK Executive Director at EBRD","UK Executive Director at EBRD","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A46","","1","65000","69999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B97"
"B65","Andrea Ledward","SCS1","Deputy Director, Climate & Environment","Deputy Director, Climate & Environment","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B65"
"B127","Kevin Quinlan","SCS1","Head of Finance, Impact & Performance","Head of Finance, Impact & Performance","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A44","","1","70000","74999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/B127"
"A7","Nicholas Dyer","SCS3","Director General, Policy and Global Programmes","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A7"
"B131","Melanie Robinson","SCS1","Head of DFID Ethiopia","Head of DFID Ethiopia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B131"
"B162","Jonathan Hargreaves","SCS1","Head of Governance, Open Societies and Anti-Corruption Department","Head of Governance, Open Societies and Anti-Corruption Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B162"
"B168","Allan Howard","SCS1","WASH Team Leader","WASH Team Leader","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B168"
"B110","Antony Burdon","SCS1","Head of Growth and Resilience Department","Head of Growth and Resilience Department","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A8","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B110"
"B172","Jennifer Marshall","SCS1","Head of DFID Malawi","Head of DFID Malawi","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B172"
"A25","Beverley Warmington","SCS2","Director, Asia","Director, Asia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","95000","99999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A25"
"A27","James Saville","SCS2","Director, People, Operations & Change","Director, People, Operations & Change","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","105000","109999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/dfid/post/A27"
"B41","Charles Agnew","SCS1","Head of Business Solutions Department","Head of Business Solutions Department","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","80000","84999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/dfid/post/B41"
"A19","Donal Brown","SCS1","Head, Global Funds Department and DFID representative, Geneva","Head, Global Funds Department and DFID representative, Geneva","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A19"
"A26","Deborah Palmer","SCS1","Head of Overseas Territories Department","Head of Overseas Territories Department","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A26"
"B166","Ian Shapiro","SCS1","Head of Private Sector Department","Head of Private Sector Department","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A46","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B166"
"A41","Pauline Hayes","SCS2","Director, Western Asia Division (Acting)","Director, Western Asia Division (Acting)","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A41"
"B70","Gavin McGillivray","SCS1","Head of DFID Burma","Head of DFID Burma","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B70"
"B114","Claire Moran","SCS1","Deputy Director, Professional Cadres","Deputy Director, Professional Cadres","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B114"
"B72","Richard Montgomery","SCS1","Head of DFID Pakistan","Head of DFID Pakistan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A41","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B72"
"B135","Paul Walters","SCS1","Deputy Director, Trade For Development Department","Deputy Director, Trade For Development Department","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B135"
"B160","Melinda Simmons","SCS1","Head of International Relations Department","Head of International Relations Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","B122","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B160"
"A8","David Kennedy","SCS3","Director General, Economic Development","Director General, Economic Development","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","125000","129999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A8"
"A30","Susanna Moorehead","SCS2","Director, West and Southern Africa","Director, West and Southern Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","100000","104999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A30"
"A5","Joy Hutcheon","SCS3","Director General, Country Programmes","Supervision of UK Bilateral Aid across 35 developing countries. Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","120000","124999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A5"
"B125","Jonathan Baxter","SCS1","Head of TMG & Principal Private Secretary","Head of TMG & Principal Private Secretary","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B125"
"B170","Julius Court","SCS1","Head of DFID Ethiopia (Acting)","Head of DFID Ethiopia (Acting)","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B170"
"B115","Daniel Graymore","SCS1","Head of DFID Uganda","Head of DFID Uganda","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B115"
"A23","Stefan Dercon","SCS2","Chief Economist","Chief Economist","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","0.8","120000","124999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A23"
