"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"27","Christina Scott","SCS2","Director, Civil Contingencies Secretariat","The Civil Contingencies Secretariat (CCS) works in partnership with government departments, the devolved administrations, and many different external organisations to enhance the UK's ability to prepare for, respond to, and recover from emergencies.","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","13","","1","80000","84999","","Other","","","http://reference.data.gov.uk/id/department/co/post/27"
"38","Jenny Grey","SCS2","Executive Director for Government Communication","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","020 7276 2002","jenny.grey@cabinet-office.x.gsi.gov.uk","309","","1","120000","124999","","Communications","","","http://reference.data.gov.uk/id/department/co/post/38"
"45","Katharine Davidson","SCS2","Executive Director, Strategy & Management Information","ED Strategy & Management Information","Cabinet Office","Cabinet Office","Core ERG","020 7271 0806","katharine.davidson@cabinet-office.gsi.gov.uk","309","","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/45"
"128","N/D","SCS1","Deputy Director, Mutuals","Leads on embedding mutuals as efficient and resilient models of delivery of public services in the wider public sector","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/128"
"187","Hayley Rogers","SCS3","Parliamentary Counsel / Team Leader","Team Leaders lead drafting teams whichdraft Bills for Government and form, with the First Parliamentary Counsel, part of the management team of the office.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6847","hayley.rogers@cabinet-office.x.gsi.gov.uk","8","","1","155000","159999","","Law","","","http://reference.data.gov.uk/id/department/co/post/187"
"295","N/D","SCS1","Head of Policy and Strategy, GPU","Deputy Director - Head of GPU Policy and Strategy team","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/295"
"319","N/D","SCS1","Chief Analyst","Chief Analyst","Cabinet Office","Cabinet Office","Implementation Unit","N/D","flexibleresourcing@Cabinet-office.gsi.gov.uk)","273","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/319"
"87","N/D","SCS1","Deputy Director responsible for international economic issues","EGIS is responsible for coordinating the work of Government in reaching collective agreement on International Economic (including G20/G8, international trade and development issues) and European policy and to provide advice on these matters to the Prime Minister, Deputy Prime Minister, and the Cabinet Office Minister for Government Policy","Cabinet Office","Cabinet Office","European & Global Issues","0207 2761261","webmaster@cabinet-office.gov.uk","51","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/87"
"166","Bernadette Walsh","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0959","bernadette.walsh@cabinet-office.x.gsi.gov.uk","187","","1","125000","129999","","Law","","","http://reference.data.gov.uk/id/department/co/post/166"
"182","David Cook","SCS3","Parliamentary Counsel / Team Leader","Team Leaders lead drafting teams whichdraft Bills for Government and form, with the First Parliamentary Counsel, part of the management team of the office.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6617","david.cook@cabinet-office.x.gsi.gov.uk","8","","1","115000","119999","","Law","","","http://reference.data.gov.uk/id/department/co/post/182"
"252","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","0.7","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/252"
"284","N/D","SCS1","Deputy Director Business proposition","Responsible for Leading the team building GOV.UK tools and transactions to meet the user needs currently served by BusinessLink.gov.uk. Working with other government departments and agencies to help them improve business-facing digital service","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/284"
"325","N/D","SCS1","Deputy Director, GREAT Campaign","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/325"
"COI5","N/D","SCS1","Director of News & PR","Marketing & Communications","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI5"
"2","Jon Day","SCS4","Chairman of the JIC and Professional Head of Intelligence Analysis","To chair the Joint Intelligence Committee and to oversee the work of the Assessment Staff so as to ensure effective support for the Prime Minister and the National Security Council through provision of timely, accurate and objective all-source intelligence assessments. To oversee the work of the intelligence analytical community across government, so as to ensure the development of necessary capabilities and skills.","Cabinet Office","Cabinet Office","Joint Intelligence Organisation","020 7276 0333","jicchairman@cabinet-office.x.gsi.gov.uk","317","","1","140000","144999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/2"
"55","Sally Collier","SCS2","Executive Director, Procurement Policy and Capability","Leading the work of ERG on procurement policy and on improving commercial capability. Responsible for the development and application of UK public procurement policy. Leading a team of policy experts which represents the UK on public procurement at the European Commission and World Trade Organisation; transcribes EU Directives into UK regulations, promotes compliance and manages the UK's response to any infractions brought against public authorities. Responsible for improving central government's individual and organisational capability in procurement. Implementing commitments made by the Prime Minister on increasing transparency in Central Government procurement and contracting.","Cabinet Office","Cabinet Office","Core ERG","01603 704639","sally.collier@cabinet-office.gsi.gov.uk","274","","1","100000","104999","","Procurement","","","http://reference.data.gov.uk/id/department/co/post/55"
"COI2","Emma Lochhead","SCS2","Director of HRD","Human Resources & Development","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","n/d","COI1","","1","90000","94999","","Human Resources","","","http://reference.data.gov.uk/id/department/co/post/COI2"
"28","Dominic Wilson","SCS2","Director, Security and Intelligence","The primary responsibility of the DSI is to ensure that the Prime Minister and other senior Ministers are well served on cross-Government intelligence policy and security issues.","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","13","","1","80000","84999","","Other","","","http://reference.data.gov.uk/id/department/co/post/28"
"81","N/D","SCS1","Head of Corporate Services","Corporate Services","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/81"
"COI16","N/D","SCS1","Group Director","Lead the Environment and Transport Theme","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI16"
"246","N/D","SCS1","Deputy Director, Deputy Prime Minister's Spokesperson/Head of Communications","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/246"
"COI10","N/D","SCS1","Director of Business Strategy","Lead the Business function for COI","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI10"
"COI13","N/D","SCS1","Group Director","Lead the Security and Justice Theme","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI13"
"56","Stephen Field","SCS2","Director, Prime Minister's Spokesman","Prime Minister's Office Spokesman","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","80000","84999","","Communications","","","http://reference.data.gov.uk/id/department/co/post/56"
"63","N/D","SCS1","Deputy Director, PPS to Minister for Cabinet Office and Minister for Government Policy","Principal Private Secretary to the Minister for the Cabinet Office and management of the Cabinet Office Ministers' private offices. Supporting the Minister for the Cabinet Office and other Ministers in delivering: - Public Sector Efficiency and Reform - Transparency in Government - Government Policy - Structural Reform - Big Society agenda - Responsibilities to Parliament. - Cyber Security","Cabinet Office","Cabinet Office","Private Office Group","0207 276 1573","psfrancismaude@cabinet-office.x.gsi.gov.uk","57","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/63"
"74","N/D","SCS1","Deputy Director, ICT Capability","ICT profession lead responsible for increasing ICT capablity within the Civil Service.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/74"
"99","N/D","SCS1","Deputy Director, Finance and Estates","Leads day-to-day management of the Cabinet Office finance and estates function, including financial and management accounting, procurement, contract and facilities management. Also responsible for the Cabinet Office physical and personnel security, and sustainable development.","Cabinet Office","Cabinet Office","Financial Management Team","020 7276 6149","webmaster@cabinet-office.gov.uk","24","","1","0","0","","Finance","","","http://reference.data.gov.uk/id/department/co/post/99"
"192","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/192"
"262","N/D","SCS1","Deputy Director, Commercial","Responsible for Commercial Programme","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/262"
"303","N/D","SCS1","Deputy Director, Partnerships","Responsible for managing business relationships on behalf of No.10 and Cabinet Office, and for delivering priority Prime Minister and Deputy Prime Minister Every Business Commits policy initiatives, in partnership with business.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/303"
"31","William Hague","SCS2","Executive Director, Civil Service Workforce","Responsible for the formulation of policy and workforce strategy affecting some 480,000 civil servants, encompassing: reward and remuneration; employment policy (terms and conditions of service); employee relations; health & well-being and Civil Service pension policy.","Cabinet Office","Cabinet Office","Core ERG","020 7271 6397","william.hague@cabinet-office.gsi.gov.uk","309","","1","95000","99999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/31"
"241","N/D","SCS1","Deputy Director Government/Agency proposition","Responsible for Leading the transformation of a government agency from a print to digital business - working in partnership with the agency Developing GDS Service Design principles that provide a toolkit for creating the easiest to use online interactions with Government Working with a number of government departments on recruiting digital talent and embedding it into their own organisations","Cabinet Office","Cabinet Office","Government Digital Service","07810 737375","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/241"
"294","N/D","SCS1","Deputy Director, Financial Controller GPU","Deputy Director - GPU financials, data, savings and information","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Finance","","","http://reference.data.gov.uk/id/department/co/post/294"
"273","Michael William Cavendish","SCS3","Director General, Red Tape Challenge and Transparency","Leading work on the Red Tape Challenge and Open Public Services programmes","Cabinet Office","Cabinet Office","Core ERG","020 7271 1321","flexibleresourcing@cabinet-office.gsi.gov.uk","309","","1","115000","119999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/273"
"314","N/D","SCS1","Deputy Director Digital Policy","Responsible for Leading and implementation of digital policy for GDS, including liaison with stakeholders inside and outside of Government Cross-government co-ordination of the digital inclusion agenda, including development of an assisted digital strategy for Government and support for Martha Lane Fox as UK Digital Champion Ministerial co-ordination and strategic direction across GDS","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/314"
"91","N/D","SCS1","Deputy Director resonsible for EU economic, energy, climate change and transport issues","EGIS is responsible for coordinating the work of Government in reaching collective agreement on International Economic (including G20/G8, international trade and development issues) and European policy and to provide advice on these matters to the Prime Minister, Deputy Prime Minister, and the Cabinet Office Minister for Government Policy","Cabinet Office","Cabinet Office","European & Global Issues","0207 2761261","webmaster@cabinet-office.gov.uk","51","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/91"
"144","N/D","SCS1","Deputy Director, Public Spending, Pay and Pensions, DfT, CLG, DECC and Defra","Lead the Public Spending, Pay and Pensions team in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and Cabinet Committee Chairs have access to high quality advice and briefing","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0055","webmaster@cabinet-office.gov.uk","54","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/144"
"171","N/D","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0954","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/171"
"197","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","173","","0.85","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/197"
"330","Lesley Hume","SCS2","Executive Director, Fraud, Error and Debt","Responsible for reducing financial loss by driving down levels of public sector fraud and error and tackling the amount of overdue debt owed to central government","Cabinet Office","Cabinet Office","Core ERG","0207 271 1349","lesley.hume@cabinet-office.gsi.gov.uk","309","","1","130000","134999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/330"
"229","N/D","SCS1","Deputy Director, Head of Cross Government Campaigns","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/229"
"235","N/D","SCS1","Deputy Director, Major Projects Authority","Deputy Director and cluster lead for Public Services","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/co/post/235"
"288","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/288"
"102","N/D","SCS1","Deputy Director, Senior Appointments & Talent","Head of the Fast Stream Graduate Talent Programme and permanent secretary performance management","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Human Resources","","","http://reference.data.gov.uk/id/department/co/post/102"
"159","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","182","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/159"
"267","N/D","SCS1","Deputy Director, Local Intelligence","Leads on Outreach and Intelligence on Big Society.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","0.61","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/267"
"120","N/D","SCS1","Deputy Director, Private Secretary to the Prime Minister","Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/120"
"258","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/258"
"280","N/D","SCS1","Deputy Director, Pensions","Deputy Director, in charge of Civil Service pension and compensation scheme, and Ministerial pensions","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/280"
"COI7","Vacant","SCS1","Director of Finance","Lead the Finance Team","Cabinet Office","Cabinet Office","Central Office of Information","N/A","N/D","COI2","","1","0","0","","Finance","","","http://reference.data.gov.uk/id/department/co/post/COI7"
"321","N/D","SCS1","Deputy Director, Implementation & Business Plans","Responsible for performance and business plans","Cabinet Office","Cabinet Office","Implementation Unit","N/D","flexibleresourcing@Cabinet-office.gsi.gov.uk)","273","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/321"
"43","Helen Stephenson","SCS2","Director, Civil Society Programmes & Perfomance","Leadership and oversight for all Civil Society programmes, finance and performance.","Cabinet Office","Cabinet Office","Core ERG","0207 271 6316","helen.stephenson@cabinet-office.gsi.gov.uk","221","","1","60000","64999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/43"
"108","N/D","SCS1","Deputy Director, Parliament and Constitution Division","To support the DPM and Minister for Political and Constitutional Reform on general Constitutional matters, including Parliamentary Reform, and the coalition commitment to introduce a statutory register of lobbyists","Cabinet Office","Cabinet Office","Constitution Group","2072716438","webmaster@cabinet-office.gov.uk","59","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/108"
"135","N/D","SCS1","Deputy Director, Procurement Capability","- Ensure the Civil Service provides effective and efficient support to the Prime Minister, Deputy Prime Minister and the Government","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Procurement","","","http://reference.data.gov.uk/id/department/co/post/135"
"296","N/D","SCS1","Deputy Director, Head of Regional Strategy","Deputy Director - Head of regional strategy","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Property and asset management","","","http://reference.data.gov.uk/id/department/co/post/296"
"NSG1","Rod Clark","SCS3","Principal and Chief Executive","CEO for the National School; responsible for setting the strategic direction and leading the development and transformation of the School to play a key role in improving the capability of the public service.","Cabinet Office","Cabinet Office","National School of Government","01344 634272","rod.clark@nationalschool.gsi.gov.uk","317","","1","130000","134999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/NSG1"
"25","Calum Miller","SCS2","Director, Principal Private Secretary to the Deputy Prime Minister","Principal Private Secretary to the Deputy Prime Minister, responsible for: Management of the DPM's private office Commissioning and providing advice across the range of the DPM's policy responsibilities Liaising closely with the Cabinet Secretary and the Prime Minister's private offices to support the functioning of the coalition government","Cabinet Office","Cabinet Office","Deputy Prime Minister's Office","020 7276 3000","calum.miller@cabinet-office.x.gsi.gov.uk","216","","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/25"
"167","Catherine O'Riordan","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6635","catherine.oriordan@cabinet-office.x.gsi.gov.uk","183","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/167"
"183","David Sprackling","SCS3","Parliamentary Counsel / Team Leader","Team Leaders lead drafting teams whichdraft Bills for Government and form, with the First Parliamentary Counsel, part of the management team of the office.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6627","david.sprackling@cabinet-office.x.gsi.gov.uk","8","","1","150000","154999","","Law","","","http://reference.data.gov.uk/id/department/co/post/183"
"291","N/D","SCS1","Deputy Director, London Property Projects","Deputy Director - London moves and disposals; negotiation and implementation","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/291"
"300","N/D","SCS1","Head of Cities Policy Unit","Lead for the Cities Policy Unit in supporting minister to enable our cities to drive economic growth, and ensure effective decentralisation of powers and responsibilities","Cabinet Office","Cabinet Office","Cities Group- DPM","0207 271 6276","webmaster@cabinet-office.gov.uk","216","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/300"
"326","N/D","SCS1","Deputy Director, Government Communication Policy and Capability","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/326"
"270","N/D","SCS1","Deputy Director, Shared Services","To set out a potential future strategy for Shared Services across Central Government.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Procurement","","","http://reference.data.gov.uk/id/department/co/post/270"
"305","N/D","SCS1","Deputy Director, Pay","Responsibility for Civil Service pay, terms and conditions, industrial relations and recruitment, the Civil Service Appeals Board, and ministerial and special advisor pay.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/305"
