"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"B49","Elizabeth Carriere","SCS1","Head of DFID South Sudan","Senior Managment: Lead the successful delivery of DFID's programmes in Rwanda and Burundi","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B49"
"A2","Richard Calvert","SCS3","Director General - Finance and Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","125000","129999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A2"
"B54","Richard Dewdney","SCS1","Deputy Director - Africa Region","Western Asia and Stabilisation","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B54"
"B47","Adrian Blundell","SCS1","Head of Group Operations","Covering Payroll and Pensions, HR Direct, HR Core Support, HR Systems, Security, Health, Work and Wellbeing, UK Estates, Facilities Management and International Operational Sustainability.","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B47"
"A20","Christopher Whitty","SCS2","Chief Scientific Advisor / Director Research & Evidence","Chief Scientific Advisor and Director Research & Evidence","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A20"
"A21","Elizabeth Ditchburn","SCS2","Director - Policy","Responsible for DFID's financial management, corporate performance and delivery of Change. Improve the value for money achieved by DFID in delivering it's Public Service Agreement.","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A21"
"A13","Samuel Sharpe","SCS2","Head of DFID-India","Deliver a high quality development programme in India","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A42","","1","100000","104999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A13"
"A7","Nicholas Dyer","SCS3","Director General - Policy and Global Programmes (Acting)","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A7"
"A25","Beverley Warmington","SCS2","Director - Asia","Director - Asia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A25"
"A27","James Saville","SCS2","Director - Human Resources, Security and Facilities","Director - Human Resources, Security and Facilities","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","105000","109999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/dfid/post/A27"
"B41","Charles Agnew","SCS1","Head of Business Solutions Department","Overall management of Information Systems in DFID. Includes Business Analysis, Systems Development, Help Desk and Operations, Technical Change Management and Technical Archicture teams.","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","75000","79999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/dfid/post/B41"
"A19","Donal Brown","SCS2","Head of Global Funds Department","Responsibility for east and central Africa including Ethiopia, Kenya and Somalia, Rwanda and Burundi, Sudan, Tanzania and Uganda.","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A19"
"A26","Deborah Palmer","SCS2","Head of Overseas Territories Department","Head of Overseas Territories Department","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A42","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A26"
"A41","Pauline Hayes","SCS2","Director - Western Asia Division (Acting)","Director - Western Asia Division (Acting)","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A41"
"A24","Anthony Smith","SCS2","Director - International Relations","Director - International Relations","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A24"
"A30","Susanna Moorehead","SCS2","Director - West and Southern Africa","Director - West and Southern Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","100000","104999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A30"
"A5","Joy Hutcheon","SCS3","Director General - Country Programmes","Supervision of UK Bilateral Aid across 35 developing countries. Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","120000","124999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A5"
"A23","Stefan Dercon","SCS2","Chief Economist","Chief Economist","Department for International Development","Department for International Development","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","","0.8","120000","124999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A23"
