"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","Department for International Development","DFID","0845 300 4100","enquiry@dfid.gov.uk","XX","","1","160000","164999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A1"
"B50","Eamon Cassidy","SCS1","Head of Trade Policy Unit","Head of Trade Policy Unit","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B50"
"B91","Timothy Wheeler","SCS1","Deputy Director Conflict Humanitarian and Security Department","Deputy Director Conflict Humanitarian and Security Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","0.8","0","0","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B91"
"B52","Sarah Cooke","SCS1","Head of Office, DFID Bangladesh","Head of Office, DFID Bangladesh","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B52","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B52"
"B38","James Helm","SCS1","Director of Communications Division","Director of Communications Division","Department for International Development","Department for International Development","Corporate Performance","846 300 4100","enquiry@dfid.gov.uk","A2","","1","85000","89999","","Communications","","","http://reference.data.gov.uk/id/public-body/dfid/post/B38"
"B73","Dominic O'Neill","SCS1","Deputy Director","Deputy Director","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","B87","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B73"
"B119","George McLaughlin","SCS1","Civil Servoce Department (Acting)","Civil Servoce Department (Acting)","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B119"
"B124","Joanna Reid","SCS1","Head of Office Somalia","Head of Office Somalia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B124"
"B109","Anthony Garnett","SCS1","Head of Audit","Head of Audit","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B109"
"A28","Rachel Turner","SCS2","Director East and Central Africa Division","Director East and Central Africa Division","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A28"
"B113","Christian Rogg","SCS1","Acting Head Nigeria","Acting Head Nigeria","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B113"
"B80","Sarah Sanyahumbi","SCS1","Head of Office/Country Representative Malawi","Overseeing DFID's programme in Malawi to ensure it achieves optimal results.","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B80"
"B134","Nicholas Ford","SCS1","(Acting) Procurement Dept and Head of Profession","(Acting) Procurement Dept and Head of Profession","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B134"
"B93","Matthew Wyatt","SCS1","Acting Director Reseach & Evidence","Acting Director Reseach & Evidence","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B93"
"B61","Michael Hammond","SCS1","Head of Office, DFID Rwanda","Head of Office, DFID Rwanda","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B61"
"B101","Ben Mellor","SCS1","Head of Department Nigeria","Head of Department Nigeria","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B101"
"B121","Helen Winterton","SCS1","Deputy Director, Middle East and North Africa","Middle East and North Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B121"
"B55","Sarah Dunn","SCS1","Head of Office, DFID South Africa","Head of Office, DFID South Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B55"
"B89","William Turkington","SCS1","Conflict Humanitarian and Security","Conflict Humanitarian and Security","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B89"
"B57","Philip Evans","SCS1","Head of Office, DFID Sierra Leone","Head of Office, DFID Sierra Leone","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B57"
"B86","Sally Taylor","SCS1","Deputy Director Ghana","Deputy Director Ghana","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B86"
"B49","Elizabeth Carriere","SCS1","Head of Office, DFID South Sudan","Head of Office, DFID South Sudan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B49"
"B111","Barbara Hendrie","SCS1","Deputy Director, Global Partnerships Department","GPD contributes to shaping global development policies and priorities as well as bolstering accounability in a rapidly evolving international system. Our focus is on ensuring an international focus on econonmic growth and poverty reduction in poor countries to meet the MDGs. We rely on the soft influencing power the UK derives from strong relatons with key partners, old and new","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A24","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B111"
"A2","Richard Calvert","SCS3","DG Finance & Corporate Performance Group","DG Finance & Corporate Performance Group","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","125000","129999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A2"
"B56","Marshall Elliott","SCS1","Head of Office, DFID Tanzania","Head of Office, DFID Tanzania","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B56"
"B117","Ellen Wratten","SCS1","Deputy Director, Policy and Innovation","Responsible for Policy and Global Cabinet, the Innovation Hub and emerging policy issues","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B117"
"B54","Richard Dewdney","SCS1","Head of Africa Regional Dept","Head of Africa Regional Dept","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B54"
"B122","Jane Edmondson","SCS1","Head of Human Development Department","Head of Human Development Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B122"
"B118","Gail Marzetti","SCS1","Head of DFID Nepal","Head of DFID Nepal","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B67","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B118"
"B138","Robert Wilkinson","SCS1","Head of Cabinet, Policy and Research Division","Head of Cabinet, Policy and Research Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A24","","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B138"
"B142","Alicia Herbert","SCS1","Head of Office Mozambique","Working with partners to reduce poverty and improve lives in Mozambique; leading the DFID country team","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B142"
"B87","Richard Teuten","SCS1","Head of International Finance","Head of International Finance","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A29","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B87"
"B79","Mark Robinson","SCS1","Deputy Director","Deputy Director","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B79"
"B128","Laure Beaufils","SCS1","Overseas Territories","Overseas Territories","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B67","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B128"
"B47","Adrian Blundell","SCS1","Head of Group Operations","Head of Group Operations","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B47"
"B78","Jane Rintoul","SCS1","Head of Office Zimbabwe","Responsibility for delivering DFID's programme in Zimbabwe","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B78"
"B60","Paula Hallam","SCS1","Head of HR Advisory Group & Head of Profession","Head of HR Advisory Group & Head of Profession","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A27","","1","80000","84999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/dfid/post/B60"
"B112","Cathryn Turton","SCS1","Deputy Director Sudan","Deputy Director Sudan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B112"
"B62","Pauline Hayes","SCS1","Acting Director, Western Asia","Acting Director, Western Asia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B62"
"B136","Penelope Hawkins","SCS1","Chief Professional Officer and Head of Evaluation","Chief Professional Officer and Head of Evaluation","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B136"
"B120","Gerard Howe","SCS1","Deputy Director One HMG Overseas","One HMG Overseas","Department for International Development","Department for International Development","DFID","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B120"
"B126","Josceline Wheatley","SCS1","Team Leader, Climate Change Mitigation","Team Leader climate change frameworks and mechanisms team.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B126"
"B140","Thomas Wingfield","SCS1","Co-lead End to End Review on DFID Programme Management","Co-lead End to End Review on DFID Programme Management","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B140"
"B99","Anna Wechsberg","SCS1","Head of Department Europe","Head of Department Europe","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A24","","0.6","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B99"
"B67","Keith Mackiggan","SCS1","(Acting) Director ASCOT","(Acting) Director ASCOT","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B67"
"A20","Christopher Whitty","SCS2","Chief Scientific Adviser","Chief Scientific Adviser","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A20"
"B105","Kevin Mallett","SCS1","Financial Controller & Head of Profession Finance","Corporate Support & Services Manager/Administrator","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B105"
"A21","Elizabeth Ditchburn","SCS2","Director of Finance & Corporate Performance Division","Director of Finance & Corporate Performance Division","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A21"
"B68","Mark Mallalieu","SCS1","Head of Office Afghanistan","Leadership of DFID Afghanistan country office","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B62","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B68"
"A13","Samuel Sharpe","SCS2","Head of Office, DFID India","Head of Office, DFID India","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B67","","1","100000","104999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A13"
"B130","Mary Hunt","SCS1","Deputy Director Asia","AsCOT Directorate","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B130","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B130"
"B116","Elizabeth Arthy","SCS1","Head of Europe Department","Head of Europe Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A24","","0.8","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B116"
"B100","Annabel Gerry","SCS1","Head of Governance, Open Societies, and Anti-Corruption Department","Lead policy work including: governance, anti-corruption, public financial management and tax, empowerment and accountability, public sector and political governance, human rights and rule of law; gender, girls and women.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B100"
"B137","Pete Vowles","SCS1","Co-lead of End-to-End PCM Review; Deputy Head, DFID DRC","Continuing role as Deputy Head of DFID DRC, delivinging our 790 million development programme. Working with DFID leadership to drive the implementation of changes to programme leadership incentives, capabilities and processes","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B77","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B137"
"B97","Jonathan Ockenden","SCS1","Deputy Director","Deputy Director","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A29","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B97"
"B65","Andrea Ledward","SCS1","Climate and Environment Department","Head of Department/Overseas Office","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B65"
"B127","Kevin Quinlan","SCS1","Head of Office Zambia","Provide leadership and management across DFID Zambia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B127"
"B131","Melanie Robinson","SCS1","Head of DFID Ethiopia","Head of DFID Ethiopia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B131"
"A7","Nicholas Dyer","SCS3","DG Policy & Global Programmes","DG Policy & Global Programmes","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","110000","114999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A7"
"A10","Moazzam Malik","SCS3","Acting DG Humanitarian, Security and Conflict and International Finance","Acting DG Humanitarian, Security and Conflict and International Finance","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A10"
"B59","David Hallam","SCS1","Director, UK Envoy and Post 2015 Development Goals","Director, UK Envoy and Post 2015 Development Goals","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B59"
"B106","Lindy Cameron","SCS1","Director Stabilisation Unit","Head of the Stabilisation Unit","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B106"
"B110","Antony Burdon","SCS1","Head, Growth and Resilience Department","Leading the Growth and Resilience Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B110"
"B58","Alistair Fernie","SCS1","Head of Proivate Sector Department","Head of Proivate Sector Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A29","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B58"
"A27","James Saville","SCS2","Director of Human Resources, Security and Facilities Division","Director of Human Resources, Security and Facilities Division","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","105000","109999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/dfid/post/A27"
"A25","Beverley Warmington","SCS2","Director of Asia, Caribbean & Overseas Territories","Director of Asia, Caribbean & Overseas Territories","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A25"
"B41","Charles Agnew","SCS1","Head of Business Solutions Dept","Head of Business Solutions Dept","Department for International Development","Department for International Development","Corporate Performance","847 300 4100","enquiry@dfid.gov.uk","B41","","1","75000","79999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/dfid/post/B41"
"A19","Donal Brown","SCS2","Head of Policy & Global","Head of Policy & Global","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A19"
"A26","Deborah Palmer","SCS2","Head of Overseas Territories Dept","Head of Overseas Territories Dept","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B67","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A26"
"B114","Claire Moran","SCS1","Deputy Director Professional Cadres, Chief Heads of Profession","Deputy Director Professional Cadres, Chief Heads of Profession","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","B91","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B114"
"B70","Gavin McGillivray","SCS1","Head of DFID Burma","Head of DFID's Office in Burma","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B67","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B70"
"B135","Paul Walters","SCS1","Head of United Nations and Commonwealth","Head of United Nations and Commonwealth","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A24","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B135"
"B72","Richard Montgomery","SCS1","Head of Office Pakistan","Working with partners to reduce poverty and improve lives in Pakistan; leading the DFID country team","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B62","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B72"
"A24","Anthony Smith","SCS2","Director of International Relations Division","Director of International Relations Division","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A24"
"A30","Susanna Moorehead","SCS2","Director West and Southern Africa Division","Director West and Southern Africa Division","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","100000","104999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A30"
"A5","Joy Hutcheon","SCS3","DG Country Programmes","DG Country Programmes","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A5"
"B125","Jonathan Baxter","SCS1","Head of the Higher Education Taskforce Secretariat","Lead the Secretariat supporting the Higher Education Taskforce","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B125"
"B115","Daniel Graymore","SCS1","Head of Office, DFID Uganda","Lead the office to deliver DFID's programme in Uganda","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B115"
"A23","Stefan Dercon","SCS2","Chief Economist","Chief Economist","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","0.8","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A23"
