"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"B52","Cooke Sarah","SCS1","Deputy Director, Head, Growth & Investment Dept (GID)","Leading DFID's policy work on sustainable & inclusive growth; investment climate reform; food and nutrition security; and poverty & vulnerability including social protection/cash transfers and the post-MDG framework.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B52"
"B42","Amery Jenny","SCS1","Deputy Director, Chief Professional Officer Human Development (Education and Health)","Chief Professional Officer Health and Education","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B42"
"B73","O'Neil Dominic","SCS1","Deputy Director, Head of DFID Nepal","Head of Office for Nepal","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B73"
"B103","Donnelly Emma","SCS1","Deputy Director, ASCOT","Head of ASCOT","Department for International Development","Department for International Development","Country programmes","854 300 4100","enquiry@dfid.gov.uk","A13","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B103"
"B80","Sanyahumbi Sarah","SCS1","Deputy Director, Head of DFID Malawi","Head of Office/Country Representative, Malawi","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B80"
"B74","Peace Jackie","SCS1","Deputy Director, Acting Head, Aid Effectivness and Value for Money Dept","Lead a team of 30 people working on DFID's value for money, project and programme management policy, results, corporate performance system, aid effectiveness, aid instruments and transparency.","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","60000","64999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B74"
"B81","Simmons Melinda","SCS1","Deputy Director, Europe","Overseeing UK funding to the EU for development, human rights/democracy, and humanitarian aid. Responsible for bilateral aid programme in Kosovo.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A14","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B81"
"B61","Hammond Mike","SCS1","Deputy Director, Head of DFID Zambia","Head of DFID Zambia","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B61"
"B93","Wyatt Mathew","SCS1","Deputy Director, Head of Climate and Environment Group","Head of Climate and Environment Group","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B93"
"B95","McCoubrey Andrew","SCS1","Deputy Director, Head of Africa Regional Department","Acting Head of Africa Regional Department","Department for International Development","Department for International Development","Country programmes","846 300 4100","enquiry@dfid.gov.uk","A19","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B95"
"B101","Mellor Ben","SCS1","Deputy Director, Head of DFID Sudan","Head of DFID Sudan","Department for International Development","Department for International Development","Country programmes","852 300 4100","enquiry@dfid.gov.uk","A15","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B101"
"B63","Hines Gwen","SCS1","Deputy Director, Head of DFID Bangladesh","Head, DFID Bangladesh","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B63"
"B55","Dunn Sarah","SCS1","Deputy Director, Head of DFID South Africa","Head of Office","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B55"
"B89","Turkington George","SCS1","Deputy Director, Head of DFID Pakistan","Responsible for DFID's development programme with the Government of Pakistan","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B89"
"B57","Evans Phil","SCS1","Deputy Director, Head, DFID Sierra Leone","Lead the successful delivery of DFID's aid programme in Sierra Leone.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B57"
"A6","ND","SCS2","Director of West & Southern Africa","Deliver Africa Divisions DPF to reduce poverty in West and Southern Africa","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","105000","109999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A6"
"B86","Taylor Sally","SCS1","Deputy Director, Head of DFID Ghana","Head of DFID Ghana","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B86"
"B88","Trivedy Roy","SCS1","Deputy Director, Head of Civil Society Department","Responsible for leading and managing DFID's work with civil society including programmes, staffing and other resources.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B88"
"B49","Carriere Elizabeth","SCS1","Deputy Director, Head of DFID Rwanda and Burundi","Senior Managment: Lead the successful delivery of DFID's programmes in Rwanda and Burundi","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B49"
"A2","Richard Calvert","SCS3","DG Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","125000","129999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A2"
"B56","Elliott Marshall","SCS1","Deputy Director, Head of DFID Tanzania","Head of DFID Tanzania","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A16","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B56"
"B48","Bowden Martin","SCS1","Deputy Director, Head of Profession, Procurement","Head of Profession, Procurement","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B48"
"B54","Dewdney Richard","SCS1","Deputy Director, Western Asia and Stabilisation Division","Western Asia and Stabilisation","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B54"
"B107","Linning Mathew","SCS1","Deputy Director, Research and Evidence","Deputy Director, Research and Evidence","Department for International Development","Department for International Development","Policy & International","858 300 4100","enquiry@dfid.gov.uk","A20","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B107"
"B53","Curtis Ian","SCS1","Deputy Director, Head of Global Partnerships Department","Head of Global Partnerships Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","B44","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B53"
"B87","Teuten Richard","SCS1","Deputy Director, Head of International Financial Institutions Department","Head of Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A15","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B87"
"B79","Robinson Mark","SCS1","Deputy Director, Chief Professional Officer, Governance, Conflict and Social Development","Overall leadership of the governance, social development, conflict and humanitarian cadres with specific responsibilities for deepening professionalism and strengthening evidence.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A23","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B79"
"B47","Blundell Adrian","SCS1","Deputy Director, Head of HR Operations","Covering Payroll and Pensions, HR Direct, HR Core Support, HR Systems, Security, Health, Work and Wellbeing, UK Estates, Facilities Management and International Operational Sustainability.","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A12","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B47"
"B78","Rintoul Jane","SCS1","Deputy Director, Head of DFID Uganda","Responsibility for delivering DFID's programme in Uganda","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A19","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B78"
"B46","Bland Simon","SCS1","Deputy Director, Head of Global Funds Department and DFID Representative Geneva","Head of DFID Global Funds Department and DFID Representative to UN and International Development Organisations in Geneva.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A15","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B46"
"B60","Hallam Paula","SCS1","Deputy Director, Head of HR Advisory Group and Head of Profession, HR","Promoting capability and efficiency through provision of specialist HR advice on issues of resourcing; diversity; employment policy; learning and development; pay and reward; talent and succession management; and employee relations to managers across DFID. Ensuring employment policies and procedures are effective in meeting organisational needs.","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A12","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B60"
"B94","ND","SCS1","Deputy Director and Chief Professional Officer for Evaluation","Chief Professional Officer for Evaluation. Leadership of DFID's central evaluation function including embedding evaluation and impact evaluation across the Department. Leadership of EVD, professional support, training and guidance to evaluation specialists and operational staff in commissioning decentralised evaluations on methods. Quality assurance of standards for evaluation in DFID. Liaising with Independent Commission for Aid Impact on evaluation on methods and standards.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B94"
"B62","Hayes Pauline","SCS1","Head of DFID Afghanistan","Leadership and management of DFID operations in Afghanistan.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B62"
"A14","ND","SCS2","Director International Relations","Manage DFID's relations with EC, European Member States & other donor countries. Represent the British Government in major multilatral and bilateral negotiations on the international system.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A14"
"B99","Wechsberg Anna","SCS1","Deputy Director, Head of Africa Directorate","Head of Africa Directorate","Department for International Development","Department for International Development","Policy & International","850 300 4100","enquiry@dfid.gov.uk","A6","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B99"
"B67","Mackiggan Keith","SCS1","Deputy Director, Head of DFID Mozambique","Head of DFID Mozambique","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B67"
"A20","Chris Whitty","SCS2","Chief Scientific Advisor / Director Research & Evidence","Chief Scientific Advisor and Director Research & Evidence","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A20"
"A22","Bowman Mark","SCS3","Director General Humanitarian, Security, Conflict and International Finance","Director General Humanitarian, Security, Conflict and International Finance","Department for International Development","Department for International Development","Policy & International","846 300 4100","enquiry@dfid.gov.uk","A1","","1","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A22"
"B105","Mallet Kevin","SCS1","Deputy Director, Finance and Performance","Financial Controller","Department for International Development","Department for International Development","Finance & Corporate Performance","856 300 4100","enquiry@dfid.gov.uk","A21","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B105"
"A21","Ditchburn Liz","SCS2","Director, Value for Money","Responsible for DFID's financial management, corporate performance and delivery of Change. Improve the value for money achieved by DFID in delivering it's Public Service Agreement.","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A21"
"B68","Mallalieu Mark","SCS1","Deputy Director, Head DFID South Sudan","Head DFID South Sudan","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A19","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B68"
"A13","Sharpe, Sam","SCS2","Head of DFID, India","Deliver a high quality development programme in India","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","95000","99999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A13"
"B100","Gerry Annabel","SCS1","Deputy Director, Head of Governance, Open Societies, and Anti-Corruption Department","Lead policy work including: governance, anti-corruption, public financial management and tax, empowerment and accountability, public sector and political governance, human rights and rule of law; gender, girls and women.","Department for International Development","Department for International Development","Policy & International","851 300 4100","enquiry@dfid.gov.uk","A7","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B100"
"B97","Ockenden Jonathan","SCS1","Deputy Director, UK Executive Director at EBRD","UK Executive Director at EBRD","Department for International Development","Department for International Development","Policy & International","848 300 4100","enquiry@dfid.gov.uk","A15","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B97"
"B65","Ledward Andrea","SCS1","Deputy Director, Head of DFID Ethiopia","Head of DFID Ethiopia","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","60000","64999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B65"
"A7","Nick Dyer","SCS2","Director Policy","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A7"
"A10","Moazzam Malik","SCS2","Director of Western Asia & Stabilisation","Manage the Stabilisation Unit, across Government body tasked to provide civilian support and advice on stabilisation in the wake of conflict.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A22","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A10"
"B59","Hallam David","SCS1","Deputy Director, UNCD","Head, United Nations and Commonwealth Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A14","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B59"
"B98","Beatie Allison","SCS1","Deputy Director, Head of Human Development Group","Head of Human Development Group","Department for International Development","Department for International Development","Policy & International","849 300 4100","enquiry@dfid.gov.uk","A16","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B98"
"B106","Cameron Lindy","SCS1","Deputy Director, Middle East and North Africa","Head of the Middle East and North Africa Department.","Department for International Development","Department for International Development","Policy & International","857 300 4100","enquiry@dfid.gov.uk","A22","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B106"
"A3","Michael Anderson","SCS3","DG Policy & Global Programmes","Policy development & Implementation. Development spending through UN, WB & International Organs. Research, Evidence & VfM.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A3"
"A12","ND","SCS2","Director Human Resources","Represent DFID in the UK Government more widely on people management & corporate performance and ensure effective relationships with HMT, FCO, MOD & OGDs.","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","100000","104999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A12"
"B58","Fernie Alistair","SCS1","Deputy Director, Head of DFID Kenya and Somalia","Lead the DFID Kenya and Somalia team to deliver results in line with the SRP, DFID Business Plan, Kenya and Somalia Operational Plans, and other ministerial priorities in Kenya and Somalia.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A19","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B58"
"A11","Manuel, Marcus","SCS2","Prog Director/BIS Head of Cape /Secondment to ODI","Head of ODI's Centre for Aid and Public expenditure and Programme Director of new initiative to improve budget effectiveness, transparency and accountability in Fragile States.","Department for International Development","Department for International Development","DFID","0845 300 4100","enquiry@dfid.gov.uk","XX","","0.92","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A11"
"B41","Agnew Charles","SCS1","Deputy Director, Head of Information Systems Department","Overall management of Information Systems in DFID. Includes Business Analysis, Systems Development, Help Desk and Operations, Technical Change Management and Technical Archicture teams.","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B41"
"A19","Donal Brown","SCS2","Acting Director East and Central Africa","Responsibility for east and central Africa including Ethiopia, Kenya and Somalia, Rwanda and Burundi, Sudan, Tanzania and Uganda.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A19"
"B104","Williams Jane","SCS1","Deputy Director, Head, Stabilisation Unit","Head, Stabilisation Unit","Department for International Development","Department for International Development","Policy & International","855 300 4100","enquiry@dfid.gov.uk","A16","","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B104"
"B70","McGillivray Gavin","SCS1","Deputy Director, Head of Private Sector Department","Head of Private Sector Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A15","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B70"
"B72","Montgomery Richard","SCS1","Deputy Director, Head of DFID Nigeria","Working with partners to reduce poverty and improve lives in Nigeria; leading the DFID country team.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B72"
"B72","Montgomery Richard","SCS1","Deputy Director, Head of DFID Nigeria","Working with partners to reduce poverty and improve lives in Nigeria; leading the DFID country team.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","http://organogram.data.gov.uk/data/dfid/2013-03-31/organoggram-staff-salary-transparency-Sept-2012#tenure48","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B72"
"B71","McKendry Ian","SCS1","Deputy Director, Caribbean and Overseas Territories","To oversee delivery of the Division's strategies in the Caribbean and the Overseas Territories.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A13","","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B71"
"A15","ND","SCS2","Director Intrnational Finance & Dev Effectiveness Division","Manage DFID's relations with the WB, IMF, Reg Dev Banks & Dev Finance Institutions. Manage private sectorinfrastructure investments & the CDC. Work in partnership with other DFID divisions and other Whitehall Depts -including No 10 & Treasury.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A15"
"A8","ND","SCS2","Head of DFID, Zimbabwe","Deliver a high quality development programme in Zimbabwe","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","","1","115000","119999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A8"
"A16","Wardell, Sue","SCS2","Director Security & Humanitarian & Middle East, Caribbean & OTs","Responsibility for overseeing policy and resources for CHASE and the regions.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","95000","99999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A16"
"A16","Wardell, Sue","SCS2","Director Security & Humanitarian & Middle East, Caribbean & OTs","Responsibility for overseeing policy and resources for CHASE and the regions.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","http://organogram.data.gov.uk/data/dfid/2013-03-31/organoggram-staff-salary-transparency-Sept-2012#tenure15","95000","99999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A16"
"A5","Joy Hutcheon","SCS3","DG Africa, South and East Asia and Western Hemisphere","Supervision of UK Bilateral Aid across 35 developing countries. Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","105000","109999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A5"
"A23","Dercon Stefan","SCS2","Chief Economist","Chief Economist","Department for International Development","Department for International Development","Finance & Corporate Performance","847 300 4100","enquiry@dfid.gov.uk","A3","","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A23"
