body_title,graph,senior_posts,junior_posts,source_files,num_source_files
Attorney General's Office,2014-03-31,5,18,{u'/data/tsol/2014-03-31/AGO-government-staff-and-salary-data---May-v1.xls': 23},1
Audit Commission,2011-03-31,25,166,{u'/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls': 190},1
Audit Commission,2011-09-30,23,114,{u'/data/audit-commission/2011-09-30/300911-Audit-Commission-Organogram-ver-3.xls': 137},1
Audit Commission,2012-03-31,21,112,{u'/data/audit-commission/2012-03-31/310312-Audit-Commission-Organogram.xls': 133},1
BIG Lottery Fund,2011-03-31,21,37,{u'/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls': 58},1
BIG Lottery Fund,2011-03-31,21,37,{u'/data/biglotteryfund/2011-03-31/Draft-of-government-staff-and-salary-data-blank-template---March-2011-V4.xls': 58},1
BIG Lottery Fund,2012-03-31,22,38,{u'/data/biglotteryfund/2012-03-31/V1-New-template---March-2012.xls': 60},1
BIG Lottery Fund,2013-03-31,19,28,{u'/data/biglotteryfund/2013-03-31/Big_Lottery_Fund_data_set_March_2013_final.xls': 47},1
Biotechnology and Biological Sciences Research Council,2011-09-30,24,308,{u'/data/bbsrc/2011-09-30/BBSRC-Transparency-Return---October-2011.xls': 332},1
Biotechnology and Biological Sciences Research Council,2012-09-30,26,334,{u'/data/bbsrc/2012-09-30/BBSRC-Transparency-Return---Sept-2012.xls': 360},1
Biotechnology and Biological Sciences Research Council,2013-09-30,27,359,{u'/data/bbsrc/2013-09-30/BIS-Transparency-Return---Sept-2013.xls': 386},1
Boundary Commission for England,2012-03-31,3,9,{u'/data/cabinet-office/2012-03-31/BCE-FINAL-TEMPLATE--31-March-2012.xls': 12},1
Boundary Commission for England,2012-09-30,2,9,{u'/data/bce/2012-09-30/BCE-Sept-2012-FINAL-TEMPLATE-ver0.4.xls': 11},1
Boundary Commission for England,2014-03-31,1,1,{u'/data/cabinet-office/2014-03-31/BCOMM---260614.xls': 2},1
Boundary Commission for Scotland,2011-09-30,3,5,{u'/data/scottishboundaries/2011-09-30/300911_Boundary-Commission-for-Scotland_Organogram.xls': 8},1
British Tourist Authority,2011-09-30,5,16,{u'/data/visitbritain/2011-09-30/VB-Government-staff-and-salary-data---22.11.11.xls': 21},1
British Tourist Authority,2012-03-31,5,16,{u'/data/visitbritain/2012-03-31/VisitBritain-130712-staff-data-HL.xls': 21},1
British Transport Police Authority,2011-03-31,17,5,{u'/data/btp/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls': 20},1
British Transport Police Authority,2011-09-30,17,8,{u'/data/btp/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls': 25},1
British Transport Police Authority,2012-03-31,17,8,{u'/data/btp/2012-03-31/20120331BTPAOrganoramdata.xls': 25},1
British Transport Police Authority,2012-09-30,17,7,{u'/data/dft/2012-09-30/BTPA-Final-Return.xls': 24},1
British Transport Police Authority,2013-03-31,17,7,{u'/data/btp/2013-03-31/20130331-Organogram.xls': 24},1
British Transport Police Authority,2014-03-31,17,9,{u'/data/dft/2014-03-31/310314-BTP--Organogram--ver-1.xls': 26},1
British Transport Police Authority,2015-03-31,17,9,{u'/data/dft/2015-03-31/310315-BTPA-Organogram-ver-1.xls': 26},1
British Transport Police Authority,2016-03-31,18,10,{u'/data/btp/2016-03-31/BTPA-staff-and-salary-data---31-03-16.xls': 28},1
Cabinet Office,2011-03-31,216,763,{u'/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls': 967},1
Cabinet Office,2011-03-31,216,763,{u'/data/cabinet-office/2011-03-31/Cabinet-Office-Staff-Template-FINAL-BuySol-changes.xls': 967},1
Cabinet Office,2011-09-30,234,629,"{u'/data/cabinet-office/2011-09-30/BCE-staff-and-salary-data-FINAL-TEMPLATE-v2.xls': 12, u'/data/cabinet-office/2011-09-30/Cabinet-Office-staff-and-Salary-data-SEPT-2011-FINAL_.xls': 842, u'/data/cabinet-office/2011-09-30/Independent-Office-staff-and-salary-data-FINAL-TEMPLATE.xls': 10}",3
Cabinet Office,2012-03-31,226,527,{u'/data/cabinet-office/2012-03-31/CO-150612-organogram-HL.xls': 755},1
Cabinet Office,2012-09-30,217,626,{u'/data/cabinet-office/2012-09-30/CABINET-OFFICE-FINAL-TEMPLATE-SEPT-2012-ver0.3.xls': 843},1
Cabinet Office,2013-09-30,244,763,{u'/data/cabinet-office/2013-09-30/Cabinet-Office-FINAL--30-Sept-2013.xls': 1007},1
Cabinet Office,2014-03-31,265,804,{u'/data/cabinet-office/2014-03-31/Upload---270614-FINAL.xls': 1069},1
Cabinet Office,2014-09-30,253,816,{u'/data/cabinet-office/2014-09-30/CO-300914-Upload-FINAL.xls': 1069},1
Cabinet Office,2015-03-31,252,984,{u'/data/cabinetoffice/2015-03-31/CO-Template-FINAL.xls': 1236},1
Cabinet Office,2015-09-30,221,886,{u'/data/cabinetoffice/2015-09-30/CO-Template-FINAL.xls': 1107},1
Cabinet Office,2016-03-31,210,763,{u'/data/cabinetoffice/2016-03-31/CO-Template-FINAL.xls': 973},1
Capital For Enterprise Ltd,2011-09-30,7,9,{u'/data/capitalforenterprise/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011.xls': 16},1
Capital For Enterprise Ltd,2012-03-31,9,10,{u'/data/capitalforenterprise/2012-03-31/CFEL31032012.xls': 19},1
Capital For Enterprise Ltd,2013-03-31,11,10,{u'/data/capitalforenterprise/2013-03-31/CFEL31032013-v1.xls': 21},1
Care Quality Commission,2011-03-31,46,312,{u'/data/cqc/2011-03-31/20110606-CQC-staff-and-salary-data---31-March-2011.xls': 356},1
Care Quality Commission,2011-09-30,44,311,{u'/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls': 355},1
Care Quality Commission,2012-03-31,49,303,{u'/data/cqc/2012-03-31/20120806-CQC-staff-and-salary-data.xls': 352},1
Care Quality Commission,2012-09-30,50,245,{u'/data/cqc/2012-09-30/271112---CQC---Organogram---ver-1.xls': 295},1
Care Quality Commission,2013-03-31,49,310,{u'/data/cqc/2013-03-31/20130524-government-staff-and-salary-data-blank-template---March-2013-FINAL.xls': 359},1
Care Quality Commission,2013-09-30,51,347,{u'/data/cqc/2013-09-30/Government-staff-and-salary-data-blank-template---September-2012-FINAL-updated.xls': 398},1
Care Quality Commission,2014-03-31,99,366,{u'/data/cqc/2014-03-31/template.xls': 465},1
Care Quality Commission,2015-09-30,106,419,{u'/data/cqc/2015-09-30/government-staff-and-salary-data-blank-template---March-2015.xls': 525},1
"Centre for Environment, Fisheries & Aquaculture Science",2011-09-30,4,35,{u'/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls': 39},1
"Centre for Environment, Fisheries & Aquaculture Science",2012-03-31,4,35,{u'/data/cefas/2012-03-31/CEFAS-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls': 39},1
"Centre for Environment, Fisheries & Aquaculture Science",2012-09-30,3,35,{u'/data/cefas/2012-09-30/CEFAS-Oct-12.xls': 38},1
"Centre for Environment, Fisheries & Aquaculture Science",2013-03-31,3,35,{u'/data/cefas/2013-03-31/CEFAS-government-staff-and-salary-data-Cefas--March-2013.xls': 38},1
"Centre for Environment, Fisheries & Aquaculture Science",2013-09-30,3,35,{u'/data/cefas/2013-09-30/government-staff-and-salary-data-FINAL--September-2013.xls': 38},1
"Centre for Environment, Fisheries & Aquaculture Science",2014-03-31,3,40,{u'/data/cefas/2014-03-31/government-staff-and-salary-data-FINAL-March-2014.xls': 43},1
"Centre for Environment, Fisheries & Aquaculture Science",2014-09-30,6,132,"{u'/data/cefas/2014-09-30/300914_cefas_organogram.xls': 69, u'/data/cefas/2014-09-30/government-staff-and-salary-data-FINAL-September-2014.xls': 69}",2
"Centre for Environment, Fisheries & Aquaculture Science",2016-03-31,3,35,{u'/data/cefas/2016-03-31/government-staff-and-salary-data-June-2016.xls': 38},1
Child Maintenance and Enforcement Commission,2011-03-31,39,298,{u'/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls': 336},1
Child Maintenance and Enforcement Commission,2011-09-30,36,307,{u'/data/childmaintenance/2011-09-30/Template---Final.xls': 343},1
Child Maintenance and Enforcement Commission,2012-03-31,34,325,{u'/data/dwp/2012-03-31/310312-CMEC-Organogram-v1.xls': 359},1
Children and Family Court Advisory and Support Service,2011-03-31,9,78,{u'/data/cafcass/2011-03-31/Test-government-staff-and-salary-data-blank-template-March-2011.1.xls': 87},1
Children and Family Court Advisory and Support Service,2011-09-30,8,88,{u'/data/cafcass/2011-09-30/Cafcass-Staff-and-Salary-Data-30th-Sep-2011.1.xls': 96},1
Children's Workforce Development Council,2011-03-31,7,68,{u'/data/cwdcouncil/2011-03-31/Transparency-Agenda-March11.xls': 75},1
Children's Workforce Development Council,2011-09-30,7,57,{u'/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls': 64},1
Civil Nuclear Police Authority,2011-09-30,4,31,{u'/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls': 35},1
Civil Service Learning,2011-09-30,5,28,{u'/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls': 33},1
Civil Service Learning,2012-03-31,5,31,{u'/data/homeoffice/2012-03-31/310312-Civil-Service-Learning---Organogram-Data.xls': 36},1
Civil Service Learning,2012-09-30,5,28,{u'/data/homeoffice/2012-09-30/300912-Civil-Service-Learning.xls': 33},1
Civil Service Learning,2013-03-31,5,33,{u'/data/homeoffice/2013-03-31/310313-Organogram-Data---Civil-Service-Learning---Final.xls': 38},1
Civil Service Learning,2013-09-30,5,35,{u'/data/homeoffice/2013-09-30/130930-Civil-Service-Learning-Organogram-Data.xls': 40},1
Civil Service Learning,2014-03-31,5,44,{u'/data/homeoffice/2014-03-31/140331---Organogram-Data---Civil-Service-Learning.xls': 49},1
Civil Service Learning,2014-09-30,6,38,{u'/data/homeoffice/2014-09-30/140930---Organogram-Data---Civil-Service-Learning.xls': 44},1
Coal Authority,2011-03-31,6,89,{u'/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls': 95},1
Coal Authority,2011-09-30,6,79,{u'/data/coal/2011-09-30/TCA-final-government-staff-and-salary-data---291111.xls': 85},1
Coal Authority,2012-09-30,7,88,{u'/data/coal/2012-09-30/government-staff-and-salary-data--template30112012v2.xls': 95},1
Coal Authority,2013-03-31,6,80,{u'/data/coal/2013-03-31/TCA-Organogram-data-2013.xls': 86},1
Committee on Climate Change,2011-09-30,4,29,{u'/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls': 33},1
Committee on Climate Change,2012-03-31,4,11,{u'/data/thccc/2012-03-31/Committee-on-Climate-Change-310312.xls': 15},1
Competition Commission,2011-03-31,20,47,{u'/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls': 67},1
Competition Commission,2011-09-30,21,70,{u'/data/cc/2011-09-30/300911-Competition-Commission-staff-and-salary-data---October-2011.xls': 91},1
Competition Commission,2012-03-31,21,73,{u'/data/cc/2012-03-31/150612-Competition-Commission-staff-and-salary-data---March-2012.xls.xls': 94},1
Competition Commission,2012-09-30,24,83,{u'/data/cc/2012-09-30/300912-Competition-Commission-staff-and-salary-data---September-2012.xls.xls': 107},1
Construction Industry Training Board,2012-09-30,7,216,{u'/data/cskills/2012-09-30/Copy-of-government-staff-and-salary-data--Sept-2012.xls': 223},1
Construction Industry Training Board,2013-09-30,7,280,{u'/data/citb/2013-09-30/Copy-of-Government-staff-and-salary-data-blank-template---September-2013-FINAL.xls': 287},1
Consumer Council for Water,2011-03-31,5,20,{u'/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls': 25},1
Consumer Council for Water,2011-09-30,4,23,{u'/data/ccwater/2011-09-30/CCWater-Organogram---30-Sept-2011.xls': 27},1
Consumer Council for Water,2012-03-31,4,21,{u'/data/ccwater/2012-03-31/11June2012-CCWater-organorgam-HL.xls': 25},1
Consumer Council for Water,2013-09-30,4,27,{u'/data/ccwater/2013-09-30/Government-staff-and-salary-data-Nov-2013.xls': 31},1
Consumer Council for Water,2014-03-31,4,28,{u'/data/ccwater/2014-03-31/310314-ccwater-organogram.xls': 32},1
Consumer Council for Water,2014-09-30,4,28,{u'/data/ccwater/2014-09-30/300914-ccwater-organogram.xls': 32},1
Consumer Council for Water,2016-03-31,5,28,{u'/data/ccwater/2016-03-31/Copy-of-Copy-of-Government-staff-and-salary-April-2016-(2).xls': 33},1
Consumer Futures,2011-09-30,7,6,{u'/data/consumerfocus/2011-09-30/CF-government-staff-and-salary-data-blank-template---Sept-2011.xls': 13},1
Consumer Futures,2012-03-31,6,6,{u'/data/consumerfocus/2012-03-31/310312-Consumer-Focus-government-staff-and-salary-data.xls': 12},1
Consumer Futures,2012-09-30,6,6,{u'/data/consumerfocus/2012-09-30/300912-Consumer-Focus-government-staff-and-salary-data.xls': 12},1
Consumer Futures,2013-03-31,5,6,{u'/data/consumerfutures/2013-03-31/01042013-Consumer-Futures-government-staff-and-salary-data.xls': 11},1
Council for Healthcare Regulatory Excellence,2011-03-31,4,8,{u'/data/chre/2011-03-31/110513-Draft-staff-organogram.xls': 12},1
Council for Healthcare Regulatory Excellence,2011-09-30,8,24,"{u'/data/chre/2011-09-30/111128-staff-organogram-spreadsheet.xls': 16, u'/data/chre/2011-09-30/CHRE-staff-September-2011.xls': 16}",2
Criminal Cases Review Commission,2011-03-31,14,25,{u'/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls': 37},1
Criminal Cases Review Commission,2011-09-30,14,22,{u'/data/justice/2011-09-30/300911-CCRC-Organogram(v0.1).xls': 36},1
Criminal Cases Review Commission,2012-03-31,14,25,{u'/data/justice/2012-03-31/CCRC.xls': 39},1
Criminal Cases Review Commission,2012-09-30,14,22,{u'/data/justice/2012-09-30/CCRC-Sep-2012.xls': 36},1
Criminal Cases Review Commission,2013-03-31,17,23,{u'/data/justice/2013-03-31/CCRC-310313.xls': 40},1
Criminal Cases Review Commission,2014-09-30,15,24,{u'/data/justice/2014-09-30/CCRC-September-return.xls': 39},1
Criminal Injuries Compensation Authority,2011-03-31,2,83,{u'/data/cica/2011-03-31/CICA-upload-v2.0.xls': 85},1
Criminal Injuries Compensation Authority,2011-09-30,2,69,{u'/data/justice/2011-09-30/300911-CICA-Organogram(final).xls': 71},1
Criminal Injuries Compensation Authority,2012-03-31,2,72,{u'/data/justice/2012-03-31/CICA.xls': 74},1
Criminal Injuries Compensation Authority,2012-09-30,2,70,{u'/data/justice/2012-09-30/CICA-Sep-2012.xls': 72},1
Criminal Injuries Compensation Authority,2013-09-30,2,70,{u'/data/justice/2013-09-30/CICA-government-staff-and-salary-data-September-2013-FINAL.xls': 72},1
Criminal Injuries Compensation Authority,2014-03-31,2,65,{u'/data/justice/2014-03-31/CICA-March-14-Final-Return.xls': 67},1
Criminal Injuries Compensation Authority,2014-09-30,2,72,{u'/data/justice/2014-09-30/CICA-September-Return.xls': 74},1
Criminal Records Bureau,2011-03-31,3,56,{u'/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls': 59},1
Criminal Records Bureau,2011-09-30,3,52,{u'/data/homeoffice/2011-09-30/300911---CriminalRecordsBureau---Organogram-Data---FINAL.xls': 55},1
Criminal Records Bureau,2012-03-31,3,56,{u'/data/homeoffice/2012-03-31/310312-Criminal-Records-Bureau---Organogram-Data.xls': 59},1
Criminal Records Bureau,2012-09-30,3,58,{u'/data/homeoffice/2012-09-30/300912-Criminal-Records-Bureau---Organogram-Data-Final.xls': 61},1
Crown Prosecution Service,2011-03-31,72,1681,{u'/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls': 1753},1
Crown Prosecution Service,2011-09-30,71,1132,{u'/data/cps/2011-09-30/300911-CPS-Organogramv1.xls': 1203},1
Crown Prosecution Service,2012-03-31,75,978,{u'/data/cps/2012-03-31/310312-CPS-Organogram-ver2.xls': 1053},1
Crown Prosecution Service,2012-09-30,77,1041,{u'/data/cps/2012-09-30/300912---CPS---Organogram---v1.xls': 1118},1
Crown Prosecution Service,2013-09-30,70,991,{u'/data/cps/2013-09-30/300913-CPS-Organogram-v0.1.xls': 1061},1
Crown Prosecution Service,2014-03-31,69,1021,{u'/data/cps/2014-03-31/310314-CPS-oorganogram-v0.1.xls': 1090},1
Crown Prosecution Service,2014-09-30,68,1002,{u'/data/cps/2014-09-30/300914-CPS-Organogram-v0.1.xls': 1070},1
Crown Prosecution Service,2016-03-31,73,973,{u'/data/cps/2016-03-31/310316---CPS-Organogram-v1.1.xls': 1046},1
Defence Support Group,2011-03-31,6,26,{u'/data/dsg/2011-03-31/government-staff-and-salary-data---March-2011---DSG.xls': 32},1
Defence Support Group,2011-09-30,6,28,{u'/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls': 34},1
Defence Support Group,2012-09-30,6,24,{u'/data/dsg/2012-09-30/300912-DSG-Staff-and-Salary-data-FINAL.xls': 30},1
Defence Support Group,2013-03-31,6,26,{u'/data/dsg/2013-03-31/government-staff-and-salary-data---March-2013---FINAL.xls': 32},1
Defence Support Group,2013-09-30,6,26,{u'/data/mod/2013-09-30/DSG_Govt_staff_and_salary_data_Sept13_FINAL.xls': 32},1
Defence Support Group,2014-03-31,6,26,{u'/data/dsg/2014-03-31/Government_staff_and_salary_data_DSG_-_Mar_2014_(20140529)_-_FINAL.xls': 32},1
Defence Support Group,2014-09-30,6,26,{u'/data/dsg/2014-09-30/Government_staff_and_salary_data_DSG_-_Sept_2014_(20140529)_-_FINAL.xls': 32},1
"Department for Business, Innovation and Skills",2011-03-31,195,1332,{u'/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls': 1527},1
"Department for Business, Innovation and Skills",2011-03-31,195,1332,{u'/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls': 1527},1
"Department for Business, Innovation and Skills",2011-09-30,198,744,{u'/data/bis/2011-09-30/BIS021211-Government-staff-and-salary-data-template.xls': 942},1
"Department for Business, Innovation and Skills",2012-03-31,196,804,{u'/data/bis/2012-03-31/government-staff-and-salary-data-blank-template---March-2012-FINAL_5.xls': 1000},1
Department for Communities and Local Government,2011-03-31,99,611,{u'/data/gonw/2011-03-31/Organogram-Template---DCLG-RETURN-FINAL.xls': 710},1
Department for Communities and Local Government,2011-03-31,99,611,{u'/data/gonw/2011-03-31/Organogram-Template---DCLG-RETURN-FINAL.xls': 710},1
Department for Communities and Local Government,2011-09-30,103,609,{u'/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls': 712},1
Department for Communities and Local Government,2012-03-31,94,510,{u'/data/communities/2012-03-31/DCLG-Organogram-and-Staff-Data.xls': 604},1
Department for Communities and Local Government,2012-09-30,93,491,{u'/data/communities/2012-09-30/DCLG-Organogram-and-Staff-Data.xls': 584},1
Department for Communities and Local Government,2013-09-30,82,1689,{u'/data/communities/2013-09-30/DCLG-Government-staff-and-salary-data-blank-template---September-2013-FINAL.xls': 1771},1
Department for Communities and Local Government,2014-03-31,94,1684,{u'/data/communities/2014-03-31/Government-staff-and-salary-data-blank-template---MARCH-2014-FINAL.xls': 1778},1
Department for Communities and Local Government,2014-09-30,95,1650,{u'/data/communities/2014-09-30/Government-staff-and-salary-data-blank-template---SEPTEMBER-2014-FINAL.xls': 1745},1
"Department for Culture, Media and Sport",2011-03-31,42,99,{u'/data/culture/2011-03-31/government-staff-and-salary-datatemplate.xls': 140},1
"Department for Culture, Media and Sport",2011-03-31,42,99,{u'/data/culture/2011-03-31/government-staff-and-salary-datatemplate.xls': 140},1
"Department for Culture, Media and Sport",2011-03-31,0,0,{},0
"Department for Culture, Media and Sport",2011-09-30,44,90,{u'/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls': 134},1
"Department for Culture, Media and Sport",2013-09-30,37,31,{u'/data/culture/2013-09-30/DCMS-Government_staff_and_salary_data_-_September_2013.xls': 68},1
"Department for Culture, Media and Sport",2014-03-31,35,42,{u'/data/culture/2014-03-31/FINAL-DCMS-Government_staff_and_salary_data_-_March-2014_v2-inc-SC-Updates.xls': 77},1
"Department for Culture, Media and Sport",2014-09-30,35,99,{u'/data/culture/2014-09-30/FINAL-DCMS-Government_staff_and_salary_data_-_September_2014.xls': 134},1
"Department for Environment, Food and Rural Affairs",2011-03-31,121,952,{u'/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls': 1073},1
"Department for Environment, Food and Rural Affairs",2011-03-31,121,952,{u'/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls': 1073},1
"Department for Environment, Food and Rural Affairs",2011-09-30,110,1006,{u'/data/defra/2011-09-30/government-staff-and-salary-data-template---October-2011---Defra---Revised.xls': 1116},1
"Department for Environment, Food and Rural Affairs",2012-03-31,110,798,{u'/data/defra/2012-03-31/government-staff-and-salary-data---March-2012-Defra-revised.xls': 908},1
"Department for Environment, Food and Rural Affairs",2012-09-30,102,724,{u'/data/defra/2012-09-30/300912-Defra-Organogram-ver-2.xls': 826},1
"Department for Environment, Food and Rural Affairs",2013-09-30,107,708,{u'/data/defra/2013-09-30/300913-Defra-Organogram-ver-2.xls': 815},1
"Department for Environment, Food and Rural Affairs",2014-03-31,107,699,{u'/data/defra/2014-03-31/310314-defra-organogram-3.xls': 806},1
Department for International Development,2011-03-31,0,0,{},0
Department for International Development,2011-03-31,0,0,{},0
Department for International Development,2011-03-31,80,268,{u'/data/dfid/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls': 348},1
Department for International Development,2011-09-30,78,259,{u'/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls': 337},1
Department for International Development,2013-03-31,77,303,"{u'/data/dfid/2013-03-31/organoggram-staff-salary-transparency-Sept-2012.xls': 59, u'/data/dfid/2013-03-31/DFID-staff-and-salary-data-template-March-2013.xls': 321}",2
Department for International Development,2013-09-30,89,371,{u'/data/dfid/2013-09-30/DFID-staff-and-salary-data-template-Sept-2013a.xls': 460},1
Department for International Development,2014-03-31,29,112,{u'/data/dfid/2014-03-31/DFID-staff-and-salary-organogram-March-2014.xls': 141},1
Department for International Development,2014-09-30,92,684,{u'/data/dfid/2014-09-30/DFID-staff-and-salary-organogram-September-2014.xls': 776},1
Department for Transport,2011-03-31,117,502,{u'/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls': 615},1
Department for Transport,2011-03-31,117,502,{u'/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls': 615},1
Department for Transport,2011-09-30,114,510,{u'/data/dft/2011-09-30/DfTC-Transparency-Final-Return.xls': 624},1
Department for Transport,2012-03-31,121,519,{u'/data/dft/2012-03-31/DfT-Transparency-Final-Return-31.03.12.xls': 641},1
Department for Transport,2012-09-30,124,538,{u'/data/dft/2012-09-30/DfT(C)-Final-Return-30.09.12.xls': 662},1
Department for Transport,2014-03-31,124,551,{u'/data/dft/2014-03-31/310314-DFT---Organogram---ver-6.xls': 675},1
Department for Transport,2015-03-31,123,530,{u'/data/dft/2015-03-31/310315-DFT-Organogram-ver-1.xls': 653},1
Department for Transport,2015-09-30,141,508,{u'/data/dft/2015-09-30/300915-DFT-Organogram-ver-1.xls': 649},1
